@relation DataSet

@attribute ATT {Good,Poor,Average}
@attribute QZ {Average,Poor,Good}
@attribute ASS {Good,Average,Poor}
@attribute CP {Good,Poor,Average}
@attribute EX {Average,Good,Poor}
@attribute Grade {First,Third,Fail,Second}

@data
Good,Average,Good,Good,Average,First
Good,Average,Good,Good,Average,First
Good,Average,Good,Good,Good,First
Poor,Average,Average,Good,Average,First
Poor,Poor,Poor,Poor,Poor,Third
Good,Poor,Poor,Poor,Poor,Fail
Good,Average,Good,Good,Average,Second
Average,Average,Good,Average,Average,Second
Poor,Average,Good,Poor,Average,First
Good,Average,Average,Good,Good,First
Good,Average,Poor,Poor,Average,Fail
Good,Average,Good,Good,Good,First
Good,Average,Good,Average,Average,First
Good,Average,Poor,Average,Average,Second
Good,Poor,Good,Average,Good,Second
Poor,Poor,Good,Average,Average,Fail
Good,Average,Good,Poor,Average,Second
Good,Average,Good,Average,Good,First
Good,Average,Good,Good,Average,Second
Good,Poor,Good,Average,Average,Second
Poor,Poor,Poor,Poor,Poor,Second
Good,Average,Good,Poor,Average,Second
Good,Average,Good,Average,Average,Second
Good,Average,Good,Average,Good,Third
Good,Average,Good,Good,Average,First
Average,Average,Good,Average,Average,Second
Average,Poor,Poor,Poor,Average,First
Good,Good,Good,Good,Good,First
Poor,Poor,Poor,Poor,Average,Second
Good,Average,Good,Good,Average,Second
Poor,Poor,Average,Good,Poor,Third
Average,Poor,Poor,Poor,Average,First
Good,Poor,Average,Average,Average,Second
Average,Poor,Good,Poor,Average,Second
Poor,Poor,Poor,Poor,Poor,Fail
Good,Poor,Good,Poor,Average,Third
Good,Average,Good,Good,Average,First
Good,Average,Good,Good,Average,First
Good,Poor,Good,Average,Average,Second
Poor,Poor,Poor,Poor,Poor,Fail
Poor,Average,Poor,Good,Average,First
Good,Poor,Poor,Average,Poor,Fail
Good,Poor,Good,Average,Good,Third
Good,Average,Good,Good,Good,First
Average,Poor,Average,Average,Poor,First
Good,Average,Good,Average,Average,First
Good,Average,Good,Good,Good,First
Good,Poor,Average,Poor,Average,First
Good,Good,Good,Good,Average,First
Poor,Poor,Poor,Poor,Poor,Third
Good,Average,Good,Average,Average,First
Good,Poor,Good,Average,Average,Second
Good,Average,Good,Good,Average,Second
Good,Average,Good,Good,Average,First
Good,Poor,Poor,Poor,Poor,Third
Good,Average,Good,Average,Average,Second
Good,Average,Good,Average,Good,First
Good,Average,Poor,Poor,Good,Third
Good,Average,Poor,Poor,Poor,Second
Average,Average,Poor,Poor,Average,Second
Good,Poor,Poor,Good,Average,Second
Poor,Poor,Poor,Poor,Average,Third
Poor,Poor,Poor,Poor,Poor,Fail
Good,Average,Good,Good,Good,First
Good,Poor,Good,Good,Average,First
Good,Poor,Poor,Poor,Average,Third
Poor,Poor,Poor,Poor,Poor,Third
Poor,Poor,Average,Average,Poor,Fail
Good,Poor,Good,Average,Average,First
Average,Average,Good,Good,Average,Second
Good,Average,Good,Good,Good,First
Average,Average,Good,Average,Average,First
Average,Poor,Poor,Poor,Poor,Fail
Poor,Poor,Poor,Poor,Poor,Fail
Good,Poor,Average,Poor,Poor,Third
Good,Average,Good,Good,Good,First
Average,Average,Good,Good,Good,First
Good,Poor,Good,Poor,Average,First
Good,Average,Good,Good,Average,Second
Average,Average,Average,Poor,Good,First
Good,Poor,Poor,Poor,Poor,Second
Poor,Poor,Good,Poor,Average,Third
Good,Average,Good,Poor,Poor,Second
Average,Average,Poor,Average,Average,First
Good,Average,Good,Good,Average,First
Poor,Poor,Poor,Poor,Average,Fail
Good,Poor,Good,Poor,Average,First
Good,Poor,Good,Average,Average,Second
Good,Good,Good,Good,Average,First
Good,Average,Good,Poor,Average,Second
Poor,Poor,Poor,Poor,Poor,Third
Poor,Poor,Average,Poor,Average,First
Average,Poor,Poor,Average,Average,Second
Good,Average,Average,Good,Average,Second
Average,Poor,Poor,Poor,Average,Second
Poor,Poor,Poor,Poor,Average,Second
Poor,Poor,Good,Average,Good,First
Good,Average,Average,Poor,Average,Second
Good,Average,Good,Good,Poor,Fail
Good,Average,Good,Good,Average,First
Good,Poor,Good,Average,Good,Second
Good,Poor,Good,Average,Average,Second
Average,Poor,Good,Poor,Average,Second
Average,Poor,Poor,Poor,Poor,Fail
Good,Poor,Good,Good,Average,First
Good,Average,Good,Good,Average,First
Good,Average,Average,Good,Average,Second
Good,Average,Average,Good,Good,First
Average,Good,Good,Poor,Good,Second
Good,Average,Average,Good,Average,Second
Good,Average,Good,Good,Good,First
